iter	Passed	Remaining
0	4	4133
1	8	4176
2	13	4324
3	17	4317
4	21	4229
5	25	4193
6	29	4209
7	33	4210
8	38	4200
9	42	4176
10	46	4167
11	50	4173
12	55	4189
13	59	4205
14	63	4199
15	68	4189
16	72	4203
17	77	4206
18	81	4191
19	85	4197
20	90	4208
21	94	4215
22	99	4222
23	103	4229
24	108	4236
25	113	4246
26	117	4242
27	122	4242
28	126	4235
29	130	4227
30	135	4221
31	139	4214
32	143	4205
33	147	4200
34	151	4187
35	156	4182
36	160	4181
37	164	4175
38	169	4168
39	173	4164
40	177	4158
41	182	4158
42	186	4155
43	190	4148
44	195	4143
45	199	4132
46	204	4140
47	208	4136
48	212	4126
49	216	4120
50	221	4118
51	225	4109
52	229	4106
53	234	4105
54	238	4101
55	242	4095
56	247	4092
57	251	4089
58	256	4090
59	260	4086
60	265	4080
61	270	4087
62	274	4085
63	278	4079
64	283	4074
65	287	4068
66	291	4059
67	296	4059
68	300	4061
69	305	4063
70	310	4061
71	314	4056
72	318	4047
73	323	4044
74	327	4039
75	331	4031
76	336	4028
77	340	4022
78	344	4018
79	348	4013
80	353	4008
81	357	4003
82	362	4001
83	366	3994
84	370	3989
85	374	3983
86	379	3978
87	383	3972
88	387	3967
89	391	3960
90	396	3957
91	400	3954
92	405	3951
93	409	3948
94	413	3941
95	417	3935
96	422	3932
97	426	3928
98	430	3920
99	435	3918
100	439	3910
101	443	3906
102	448	3901
103	451	3893
104	456	3890
105	460	3885
106	465	3884
107	469	3880
108	473	3874
109	478	3870
110	482	3867
111	487	3862
112	491	3857
113	495	3854
114	500	3852
115	505	3850
116	509	3846
117	513	3839
118	518	3835
119	522	3829
120	526	3823
121	530	3817
122	534	3811
123	539	3809
124	543	3804
125	547	3799
126	551	3792
127	556	3789
128	560	3785
129	564	3780
130	569	3776
131	574	3775
132	578	3773
133	582	3767
134	587	3761
135	591	3758
136	595	3754
137	600	3750
138	604	3746
139	609	3742
140	613	3737
141	617	3732
142	621	3727
143	625	3721
144	630	3716
145	634	3711
146	639	3708
147	643	3703
148	647	3700
149	652	3697
150	656	3692
