real,prediccion
97545,135001.94
163211,144439.75
266941,280230.27
295947,350062.44
87541,119954.91
277776,303912.11
50000,56273.69
444841,452561.95
303377,221855.4
50000,74005.59
529732,532464.62
131760,134766.76
106079,113256.35
74107,57243.96
77910,141194.25
245886,275369.03
385899,343274.08
587150,752444.29
164782,122696.8
159295,160698.67
325008,280734.28
263819,358193.69
299984,312687.47
83404,140997.86
189545,180027.78
318622,319268.32
267303,271589.15
50000,57731.23
253253,161188.5
50000,70906.13
375879,398339.64
437569,499297.01
138746,126947.91
305519,336036.53
106300,129894.58
157602,126421.1
192294,162251.54
276197,299943.73
50000,66334.98
686030,672319.34
129672,112876.97
297824,333519.79
268710,244717.04
92478,142183.73
82670,63717.9
179491,169956.95
553948,549893.56
183585,208849.71
153685,186350.14
199709,183789.31
132159,129256.55
208534,249127.99
434690,440351.75
122438,94867.97
278531,214222.15
50000,61237.21
413213,380572.36
561731,567886.4
165579,149960.21
279693,277671.26
131307,133819.28
732693,748226.6
370439,323064.47
386866,369033.04
79592,103364.77
232631,275740.35
282143,273286.87
416519,406444.56
57569,61613.88
100109,105047.07
497373,534420.02
407535,479128.52
127101,157612.01
375787,336870.48
501300,445444.1
177618,211754.28
443801,496627.48
50000,63880.83
126074,89514.62
378047,357782.58
633482,609440.51
351821,354460.02
664353,595001.48
141610,68884.34
177828,177712.55
464907,475505.83
153905,114527.34
69455,94251.24
118969,102737.1
131612,94127.13
106675,152693.61
75507,96274.7
372207,315082.23
135178,101736.89
50000,93630.31
94456,54446.68
220425,306002.36
380724,380266.99
228550,216906.54
80613,93199.6
51302,66435.52
182611,157312.63
505822,429832.03
158403,152283.8
138450,143326.11
250236,238929.2
188981,231713.56
50000,65096.1
551327,583189.65
319823,305148.03
570645,627400.69
521107,515215.37
175554,121762.48
194814,168625.73
142448,132160.7
280737,218102.0
376798,338871.42
273938,285117.98
99571,126609.57
50000,85967.33
422224,370356.14
80263,139015.59
136677,150482.09
127965,122396.85
363258,389310.27
65114,146642.07
50000,98947.42
218227,194880.84
299393,238523.0
116217,131032.37
701588,628311.04
108469,78732.92
115975,107231.96
50000,60493.61
261434,264641.68
572431,581002.69
433837,461338.43
140703,144962.69
264052,240631.64
421873,478767.47
148254,140020.2
161373,163273.74
70414,84088.99
262114,224328.0
50000,88518.63
207849,247359.84
50000,53463.38
59355,63227.82
50325,128064.43
74927,69168.23
113922,94827.55
328497,374005.23
191551,146939.59
50000,64011.14
103272,124106.91
167175,155693.15
50000,68718.08
104418,147725.33
105337,99977.17
170127,192966.82
344143,374372.26
70604,77893.37
158001,133065.16
164480,198793.0
94394,72245.19
50000,68612.16
144870,134179.79
163006,218389.86
121094,172123.97
126226,144566.58
120065,96711.82
81364,87658.71
225369,263496.85
225244,218563.8
72350,86533.21
67384,61507.23
229351,293494.08
270320,326867.24
327094,223203.12
284965,294735.35
439827,440475.67
260684,233296.16
118306,147464.89
191971,220422.66
512086,544884.45
319421,336376.5
313061,311115.51
98483,125854.77
164094,132228.15
313486,304970.38
182158,179245.72
522560,455827.35
71146,79226.77
115056,105096.98
157314,160455.17
98781,129802.13
147765,143493.7
63287,75072.28
87739,69751.62
135366,159226.78
164891,206749.4
111628,136152.6
148315,128207.31
343806,322865.48
317621,290088.97
501911,445991.68
438424,457076.31
167682,144508.25
140739,130787.54
154079,162384.76
91749,86475.61
96872,129599.05
50000,69668.04
126805,89484.61
51575,61911.81
50000,84209.01
223704,163923.51
83174,76094.48
118601,76153.62
372436,345523.73
129434,127204.82
115109,149969.25
196491,158249.01
69483,83074.56
53951,70122.46
64248,92963.14
149697,122958.35
144048,138086.93
50000,73149.86
356206,424289.46
187130,169372.47
82321,81077.41
274600,264018.58
392310,348272.66
152990,143197.38
73764,58316.09
305445,284786.13
128925,116349.03
50000,108350.55
105160,75498.69
73687,77912.49
120672,83439.72
322844,373220.69
118605,117445.19
107323,93367.17
131566,132912.63
50000,55664.47
139891,130627.09
50000,83296.89
148403,135234.81
119921,110740.77
205204,166859.29
127187,193373.27
287506,333000.8
61805,101022.22
154946,133448.59
51749,111642.57
97968,108608.48
282282,260821.52
347544,347625.58
50000,65162.41
50000,78645.03
355287,358598.78
109211,95475.29
50000,61719.87
534180,519783.9
118387,176929.98
163433,139085.0
151846,168259.86
62074,76102.55
274703,274046.53
144720,130854.16
175431,130271.79
208691,229846.35
52403,93175.11
292622,326045.64
510521,510604.54
98285,87520.99
460049,531996.8
449626,377322.41
517190,432413.56
363641,366723.99
233725,254622.24
345561,364799.46
124902,210758.81
234708,204518.15
50000,53886.98
83628,129564.06
636646,630048.88
60101,86994.28
180887,125700.43
50000,84523.27
516214,491053.39
445666,381863.41
50000,67101.69
286519,313043.61
148447,109460.22
181496,135409.97
120164,70854.48
173653,180181.58
95836,95013.85
88827,83824.21
139888,88658.58
292163,267354.56
50000,55486.27
93361,96421.24
249518,209594.81
327367,251571.88
124783,142769.17
225471,242685.59
343919,327917.55
475559,499132.92
376952,332964.72
117765,110744.73
217475,189586.38
178794,185707.97
57203,92203.73
580283,589788.54
119154,87166.98
429268,341431.66
149392,92145.5
144675,126626.74
93942,101161.79
50000,104078.68
56041,85747.44
585492,655436.7
50000,63364.63
97139,62731.12
289181,193702.03
129971,119441.69
65072,154350.18
155772,164202.19
308966,322527.96
65524,76293.53
61113,62267.97
52356,75218.84
113801,94625.96
210665,193725.27
120188,92818.48
387991,363971.71
96131,159557.06
102493,76411.01
50000,87550.69
287652,299091.01
70948,79248.79
111887,85520.24
206375,244611.51
539640,489418.56
136983,126973.95
117086,148968.1
453002,429559.84
50000,80212.04
112796,97976.59
92585,81044.25
193716,77558.17
434661,421924.44
286051,270753.13
494852,479959.5
158648,135713.34
291507,333548.32
201577,272727.78
80738,113587.33
128355,145823.55
192243,144335.57
437457,493416.51
353550,336484.51
143842,172158.07
95734,134077.7
186771,207716.51
605739,634675.85
50000,55647.05
478731,433977.41
50000,69434.63
437823,516384.96
141204,116791.38
103632,146460.66
222603,244055.67
188108,110404.23
72756,81020.11
145225,122676.66
111463,131382.14
289279,305882.02
50000,69349.42
102553,84485.87
62201,131126.42
88578,67847.45
138590,163395.7
107185,126691.56
127747,137592.13
136232,109073.67
109394,156901.2
70191,99069.66
294984,228024.65
261582,175824.88
50000,64345.75
427167,440531.54
340292,324495.65
426603,335944.95
557446,454301.81
330562,338307.86
331055,316124.48
50000,58981.82
309369,352238.59
283362,309838.24
217683,130768.34
354540,351868.0
50000,64509.95
126025,102716.05
112766,80861.6
188254,173740.6
261695,274130.18
318347,264384.46
145589,130137.41
102126,96380.17
336878,405563.93
58899,72653.59
50000,57616.17
189512,117881.86
369526,310630.59
